nhic_code,MRID
90000000006945,650403-0322-6409
90000000012055,140402-0122-4801
90000000011286,480302-0222-4801
90000000011366,570501-0230-2714
90000000032534,070301-0330-6001
90000000029718,550404-0422-2707
90000000009117,481801-0130-2713
90000000007086,541302-0222-4801
90000000003026,230103-0101-5406
90000000009079,190901-0128-4301
90000000030810,480201-0522-6401
90000000016954,480604-0130-2305
90000000005522,481901-0230-6001
90000000033037,230704-0129-0901
90000000009556,640102-0345-4301
90000000019110,580201-0522-6401
90000000024566,070901-0104-6409
90000000012231,600201-0130-3501
90000000024073,740303-0122-6401
90000000022455,440104-0130-2713
90000000004013,170801-0201-2713
90000000002184,400302-0130-2714
90000000032806,510301-0101-0901
90000000026886,560203-0130-2713
90000000012885,190101-0130-2713
90000000008739,890101-0130-5401
90000000012994,770101-0130-2713
90000000032874,320202-0141-4001
90000000001206,830210-0130-2713
90000000007775,060402-0101-5406
90000000032781,370301-0201-0601
90000000032954,110101-0241-0401
90000000033931,270103-0130-2713
90000000005580,801204-0301-5406
90000000026098,541803-0130-2706
90000000030906,710201-0122-6401
90000000007083,541302-0122-4801
90000000024765,543201-0530-2713
90000000006570,070104-0109-4001
90000000007749,060405-0201-2713
90000000017742,150305-0209-5401
90000000006144,470203-0141-0401
90000000004548,801014-0201-5406
90000000004628,120601-0101-2713
90000000020327,020402-0222-2701
90000000033947,150402-0130-2713
90000000007909,481503-0130-5401
90000000006541,430502-0122-2713
90000000026216,650404-0522-6409
90000000007445,543201-0230-2713
90000000010389,190501-0322-6401
90000000026899,560306-0146-2713
90000000003392,520107-0109-2701
90000000034706,870302-0430-2713
90000000007884,681501-0122-0401
90000000030701,480201-0422-6401
90000000001613,560303-0109-2713
90000000001956,410302-0243-4301
90000000020436,410909-0141-6401
90000000020029,542403-0130-2713
90000000012519,540404-0141-0401
90000000033976,150402-0230-2713
90000000008198,130205-0230-3501
90000000031461,700701-0328-4301
90000000023813,410604-0122-6404
90000000000120,550404-0222-2713
90000000010510,170303-0101-2713
90000000008233,660107-0130-6201
90000000022282,681002-0141-6401
90000000032262,100904-0115-2713
90000000000681,020101-0130-3501
90000000007381,690302-0222-6409
90000000006176,100701-0115-2713
90000000011811,830102-0130-2713
90000000005849,660502-0230-2713
90000000027437,651301-0122-6404
90000000007326,110103-0109-6401
90000000007057,542405-0130-2714
90000000018883,170303-0101-2713
90000000011693,801004-0101-5406
90000000015775,540703-0146-2706
90000000008806,160102-0104-4801
90000000002360,780203-0122-6401
90000000023698,740103-0130-5603
90000000008617,100702-0115-2713
90000000006035,100704-0115-2713
90000000009092,170303-0101-2713
90000000002411,410301-0222-2701
90000000018242,160201-0846-2713
90000000022554,650402-0222-6401
90000000024877,440105-0122-2713
90000000030455,170303-0101-2713
90000000021538,410102-0115-2706
90000000030442,170303-0101-2713
90000000025604,540715-0130-2714
90000000012420,710103-0222-4801
90000000015951,680501-0122-6401
90000000026191,650404-0322-6409
90000000006948,580201-0130-2713
90000000008614,100805-0115-2715
90000000008015,640206-0201-4001
90000000032563,770202-0130-3501
90000000006189,651002-0122-6401
90000000031627,650305-0230-5406
90000000008941,140503-0415-2713
90000000035165,650201-0322-2713
90000000001700,520106-0215-2713
90000000015935,650201-0145-4301
90000000011119,200201-0241-6401
90000000010498,170303-0101-2713
90000000020042,542403-0130-2713
90000000005942,100805-0215-2715
90000000005006,680405-0822-2708
90000000005465,310202-0330-2713
90000000015909,650201-0245-4301
90000000009390,801401-0130-2713
90000000015531,700201-0322-6401
90000000013343,801901-0101-5406
90000000008563,760102-0230-5401
90000000004952,600104-0130-2713
90000000034732,870302-0430-2713
90000000031448,700701-0228-4301
90000000012545,480102-0104-2706
90000000001520,800702-0130-5406
90000000004577,120601-1401-2713
90000000004506,170303-0101-2713
90000000032435,761001-0330-5401
90000000001014,540418-0115-2713
90000000021615,140602-0130-2713
90000000018380,780204-0130-6201
90000000015922,650201-0345-4301
90000000013567,120601-0101-2713
90000000010142,190703-0130-2714
90000000030035,570122-0222-2706
90000000005045,680405-0622-2708
90000000007394,690302-0122-6409
90000000007474,700501-0122-6401
90000000010603,440103-0146-3501
90000000034069,130305-0122-4801
90000000004625,120601-0101-2713
90000000031368,260402-0222-6401
90000000020817,640102-0445-4301
90000000022881,100901-0115-2713
90000000023179,190902-0222-0402
90000000006868,570114-0322-6401
90000000033188,100903-0115-2713
90000000008384,510107-0130-5401
90000000009620,570110-0122-6401
90000000009483,481302-0122-2701
90000000032819,280104-0130-3601
90000000029417,481803-0122-4801
90000000000530,280104-0229-4001
90000000007544,481703-0104-2706
90000000033319,200201-0141-6401
90000000033332,110406-0109-0401
90000000002808,540411-0109-4801
90000000012340,600101-0130-5401
90000000003840,570309-0130-2714
90000000004641,120601-0101-2713
90000000026284,541603-0230-2713
90000000006147,100801-0115-2713
90000000003148,800405-0101-5406
90000000010293,400302-0422-2801
90000000005032,680405-0722-2708
90000000019953,260402-0122-6401
90000000012109,540702-0130-2713
90000000032329,110901-0109-0401
90000000032249,100903-0115-2713
90000000032236,100904-0115-2713
90000000001658,330301-0101-0901
90000000008601,560303-0146-2713
90000000024874,440105-0222-2713
90000000006093,543202-0122-2706
90000000007406,400502-0141-6401
90000000011459,210401-0130-3501
90000000030746,480503-0130-3501
90000000012574,480201-0322-2706
90000000033915,550501-0130-2713
90000000002427,770201-0122-6401
90000000020910,160301-0130-2713
90000000031707,690204-0122-6401
90000000005836,060409-0130-1701
90000000008970,681002-0130-5406
90000000007025,580201-0122-6401
90000000011824,320201-0144-4001
90000000035796,230704-0201-0901
90000000011680,490102-0122-2706
90000000011638,480901-0104-2706
90000000006349,310301-0101-5406
90000000001123,230802-0101-2701
90000000011052,110103-0509-0401
90000000006295,680404-0122-6409
90000000011571,480604-0122-4801
90000000033691,100904-0115-2713
90000000028821,570502-0222-0407
90000000027466,350201-0122-5901
90000000011414,570501-0130-5406
90000000000418,830215-0104-2713
90000000013615,570201-0122-2713
90000000033758,540413-0130-5401
90000000029853,660701-0322-6401
90000000006022,651101-0130-2713
90000000011254,801008-9999-3101
90000000026162,310301-0101-5406
90000000019088,580201-0522-6401
90000000011651,480703-0104-2706
90000000035370,580501-0122-2706
90000000031288,210303-0122-6409
90000000016089,830102-0222-2713
90000000030378,570108-0130-2713
90000000035168,650201-0422-2713
90000000002251,170413-1301-2713
90000000027450,170209-0101-2713
90000000005769,480204-0204-4803
90000000000825,170409-0137-2701
90000000001043,500701-0122-6401
90000000029651,370105-0101-0901
90000000013538,120501-0122-6401
90000000011856,690102-0122-6411
90000000023041,760102-0230-5401
90000000001802,681201-0130-2713
90000000030605,330103-0230-3501
90000000025005,490103-0130-2713
90000000029430,570309-0230-2713
90000000008521,480201-0630-4804
90000000019274,400302-0122-2801
