moh_code,MRID
545021091,651401-0122-0401
540031523,711001-0122-6401
551031244,420102-0122-6409
549016053,760604-0141-6001
549066415,070301-0141-2601
543064009,130307-0101-2713
548024467,060409-0130-1701
542014277,530702-0115-2715
547084807,470203-0241-0401
540014001,480502-0122-4801
540014245,480604-0222-2706
551081848,540722-0330-2714
541011101,540702-0130-2713
550013427,801102-0101-5406
543054332,150402-0230-2713
540011301,481603-0122-2706
551066405,640206-0201-4001
548024482,860102-9999-2713
541044340,541301-0109-4801
547011007,410302-0243-4301
547014004,410906-0141-6401
543014101,160101-0130-2713
545044650,640501-0122-4801
549072703,780505-0130-6201
540042665,500104-0130-3501
549016045,760606-0541-4801
543054331,150402-0230-2713
544094624,190706-0130-2713
541011035,541501-0130-2713
550013432,910101-0201-5406
544101754,260703-0122-6401
551064444,640214-0130-2713
550014330,800201-0122-4801
549021280,760403-0122-2706
545031546,680404-0230-2716
543014130,160203-0141-2713
551063412,640209-0101-0901
550063718,290201-0101-5401
545021248,580501-0122-2706
540022460,070104-0115-6001
546031233,020501-0230-2713
542014219,530201-9999-2713
550013355,570108-0130-2713
545031358,690108-0222-0407
543014132,160203-0146-2713
540012175,480201-0230-4804
540051766,510213-0222-6401
541011090,540723-0122-2706
550014503,120601-0601-4001
541024140,541003-0230-2713
546054382,040203-0130-2713
542034410,520203-0134-2713
549021275,760801-0222-6402
547061611,100303-0122-6401
541011025,541902-0122-0401
540021508,500304-0122-6401
550073920,350301-0201-0901
547011090,410802-0122-6404
546081720,570116-0130-2714
548034562,170413-0701-2713
540014262,481703-0122-2706
546081715,570107-0122-2706
549016052,760604-0341-6001
549016044,760606-0341-6001
541031202,410606-0222-6401
551074470,830210-0146-2713
540031542,710402-0122-6401
543074505,170201-0201-5401
540014003,481304-0104-4801
545031349,680803-0422-6409
545031345,680803-0322-6409
540044660,500104-0322-4801
552010091,230704-0201-0901
550063777,290305-0105-4001
545031641,690108-0122-0407
551054365,190501-0122-4801
543064005,170103-0101-2701
544121920,270301-0322-6401
550063726,340503-0101-0901
552010090,230704-0129-0901
547052515,440103-0146-3501
545021011,650201-0145-4301
541074538,560307-0341-2706
551031187,020101-0130-3501
544094600,190701-0130-2713
551124600,180401-0115-4801
546081708,570309-0130-2714
545051825,660106-0122-6402
540054760,510301-0122-2706
541034281,430103-0122-2713
540051808,510504-0122-6401
541014085,541801-0130-2714
540062810,482001-0130-3501
545031542,680404-0122-6409
550063721,330105-0101-0901
546053430,030202-0122-5901
545021016,650201-0322-2713
540051762,510301-0230-6001
549021281,570115-0130-5402
547061618,100303-0222-6401
550063621,370301-0101-0601
550063675,380106-0201-5401
548034500,170301-0101-5401
550014335,330105-0201-0601
540051813,510204-0122-6401
545034615,681002-0230-2713
545031549,310202-0222-6401
545024064,640102-0146-2713
545031505,680701-0222-6401
552033530,730101-0101-3601
550014169,800604-0130-5406
550014337,480303-0101-4001
543064003,690106-0122-6401
544121901,270301-0122-6401
547054480,440103-0130-2713
550048570,010202-0130-3801
550014170,800609-0130-5406
549066409,760603-0141-2601
544041150,140113-0130-2714
548011131,110404-0330-2701
546103800,230703-0101-4001
550063682,290501-0101-0901
544101703,200201-0241-6401
547014005,410601-0141-6401
546021135,030501-0122-6401
543084601,170204-0101-2713
544104770,200801-0130-2713
545071925,670301-0222-6401
547081804,110102-0141-0401
544031107,250104-0422-6409
551051395,830211-0130-2701
545031544,680404-0222-6409
540031570,711102-0122-6401
541044350,543202-0122-2706
544101718,700202-0122-0401
540011333,481110-0130-5401
545052815,660201-0230-6001
542034430,520202-0109-2701
550013015,801402-0101-5406
540022470,490302-0122-6406
551081550,570502-0122-0401
545064850,600701-0130-2713
541014073,542201-0222-2706
547064601,100805-0215-2715
540011381,481201-0222-4803
545054725,660601-0130-2713
545064839,600104-0130-2713
548012050,110103-0715-5406
542014030,531302-0130-2713
544094623,190706-0130-2713
547064609,100905-0152-2713
545021315,830106-0222-2706
544101765,260405-0222-6401
542024350,520106-0115-2713
551054351,830207-0107-5401
545021261,780207-0230-5406
544051201,240602-0122-6401
550063715,330303-0101-0901
545051787,660301-0122-6401
547064591,100804-0115-2715
550063670,330501-0101-0901
547064605,100801-0115-2713
549014255,780502-0230-2713
544071470,210303-0122-6409
